LibraryLayout	Library_Name	Run	Replicate_Name	Sex	dev_stage	organism_part	RNA	Sample_Name
SINGLE	Male Accessory Gland (Mir)	ERR2117073	Male_Accessory_Gland_Mir_2	male	Adult	Accessory Gland	microRNA	Male_Accessory_Gland_Mir
SINGLE	Male Accessory Gland (Mir)	ERR2117074	Male_Accessory_Gland_Mir_3	male	Adult	Accessory Gland	microRNA	Male_Accessory_Gland_Mir
PAIRED	Male Accessory Glands	ERR2196289	Male_Accessory_Glands_1	male	Adult	Accessory Glands	mRNA	Male_Accessory_Glands
PAIRED	Male Accessory Glands	ERR2196290	Male_Accessory_Glands_2	male	Adult	Accessory Glands	mRNA	Male_Accessory_Glands
PAIRED	Male Accessory Glands	ERR2196291	Male_Accessory_Glands_3	male	Adult	Accessory Glands	mRNA	Male_Accessory_Glands
PAIRED	Male Anal Pad	ERR2196292	Male_Anal_Pad_1	male	Adult	Anal Pad	mRNA	Male_Anal_Pad
PAIRED	Male Anal Pad	ERR2196293	Male_Anal_Pad_2	male	Adult	Anal Pad	mRNA	Male_Anal_Pad
PAIRED	Male Anal Pad	ERR2196294	Male_Anal_Pad_3	male	Adult	Anal Pad	mRNA	Male_Anal_Pad
SINGLE	Male Anal Pad (Mir)	ERR2197860	Male_Anal_Pad_Mir_1	male	Adult	Anal Pad	microRNA	Male_Anal_Pad_Mir
SINGLE	Male Anal Pad (Mir)	ERR2197861	Male_Anal_Pad_Mir_2	male	Adult	Anal Pad	microRNA	Male_Anal_Pad_Mir
SINGLE	Male Anal Pad (Mir)	ERR2197862	Male_Anal_Pad_Mir_3	male	Adult	Anal Pad	microRNA	Male_Anal_Pad_Mir
PAIRED	Male Brain	ERR2196031	Male_Brain_1	male	Adult	Brain	mRNA	Male_Brain
PAIRED	Male Brain	ERR2196032	Male_Brain_2	male	Adult	Brain	mRNA	Male_Brain
PAIRED	Male Brain	ERR2196033	Male_Brain_3	male	Adult	Brain	mRNA	Male_Brain
SINGLE	Male Brain (Mir)	ERR2197854	Male_Brain_Mir_1	male	Adult	Brain	microRNA	Male_Brain_Mir
SINGLE	Male Brain (Mir)	ERR2197855	Male_Brain_Mir_2	male	Adult	Brain	microRNA	Male_Brain_Mir
SINGLE	Male Brain (Mir)	ERR2197856	Male_Brain_Mir_3	male	Adult	Brain	microRNA	Male_Brain_Mir
PAIRED	Male Carcass	ERR2103699	Male_Carcass_1	male	Adult	Carcass	mRNA	Male_Carcass
PAIRED	Male Carcass	ERR2103700	Male_Carcass_2	male	Adult	Carcass	mRNA	Male_Carcass
PAIRED	Male Carcass	ERR2103701	Male_Carcass_3	male	Adult	Carcass	mRNA	Male_Carcass
SINGLE	Male Carcass (Mir)	ERR2117075	Male_Carcass_Mir_1	male	Adult	Carcass	microRNA	Male_Carcass_Mir
SINGLE	Male Carcass (Mir)	ERR2117076	Male_Carcass_Mir_2	male	Adult	Carcass	microRNA	Male_Carcass_Mir
SINGLE	Male Carcass (Mir)	ERR2117077	Male_Carcass_Mir_3	male	Adult	Carcass	microRNA	Male_Carcass_Mir
PAIRED	Male Crop	ERR2617942	Male_Crop_1	male	Adult	Crop	mRNA	Male_Crop
PAIRED	Male Crop	ERR2617943	Male_Crop_2	male	Adult	Crop	mRNA	Male_Crop
PAIRED	Male Eye	ERR2617946	Male_Eye_1	male	Adult	Eye	mRNA	Male_Eye
PAIRED	Male Eye	ERR2617947	Male_Eye_2	male	Adult	Eye	mRNA	Male_Eye
PAIRED	Male Eye (Mir)	ERR2744048	Male_Eye_Mir_1	male	Adult	Eye 	microRNA	Male_Eye_Mir
PAIRED	Male Eye (Mir)	ERR2744049	Male_Eye_Mir_2	male	Adult	Eye 	microRNA	Male_Eye_Mir
PAIRED	Male Head	ERR2103702	Male_Head_1	male	Adult	Head	mRNA	Male_Head
PAIRED	Male Head	ERR2103703	Male_Head_2	male	Adult	Head	mRNA	Male_Head
PAIRED	Male Head	ERR2103704	Male_Head_3	male	Adult	Head	mRNA	Male_Head
SINGLE	Male Head (Mir)	ERR2117078	Male_Head_Mir_1	male	Adult	Head	microRNA	Male_Head_Mir
SINGLE	Male Head (Mir)	ERR2117079	Male_Head_Mir_2	male	Adult	Head	microRNA	Male_Head_Mir
SINGLE	Male Head (Mir)	ERR2117080	Male_Head_Mir_3	male	Adult	Head	microRNA	Male_Head_Mir
PAIRED	Male Hindgut	ERR2105046	Male_Hindgut_1	male	Adult	Hindgut	mRNA	Male_Hindgut
PAIRED	Male Hindgut	ERR2105047	Male_Hindgut_2	male	Adult	Hindgut	mRNA	Male_Hindgut
PAIRED	Male Hindgut	ERR2105048	Male_Hindgut_3	male	Adult	Hindgut	mRNA	Male_Hindgut
SINGLE	Male Hindgut (Mir)	ERR2117081	Male_Hindgut_Mir_1	male	Adult	Hindgut	microRNA	Male_Hindgut_Mir
SINGLE	Male Hindgut (Mir)	ERR2117082	Male_Hindgut_Mir_2	male	Adult	Hindgut	microRNA	Male_Hindgut_Mir
SINGLE	Male Hindgut (Mir)	ERR2117083	Male_Hindgut_Mir_3	male	Adult	Hindgut	microRNA	Male_Hindgut_Mir
PAIRED	Male Midgut	ERR2105058	Male_Midgut_1	male	Adult	Midgut	mRNA	Male_Midgut
PAIRED	Male Midgut	ERR2105059	Male_Midgut_2	male	Adult	Midgut	mRNA	Male_Midgut
PAIRED	Male Midgut	ERR2105060	Male_Midgut_3	male	Adult	Midgut	mRNA	Male_Midgut
SINGLE	Male Midgut (Mir)	ERR2117084	Male_Midgut_Mir_1	male	Adult	Midgut	microRNA	Male_Midgut_Mir
